330_SWE (m),392_SWE (m),393_SWE (m),763_SWE (m),533_SWE (m),684_SWE (m),814_SWE (m),896_SWE (m),1118_SWE (m),1145_SWE (m)
0.30226,0.5334,0.3606799999999999,0.2971799999999999,0.5613400000000001,0.37846,0.53848,0.38354,0.0,0.32004
0.30226,0.5334,0.3606799999999999,0.2946399999999999,0.5613400000000001,0.37592,0.53848,0.381,0.0,0.31496
0.2971799999999999,0.5308599999999999,0.3606799999999999,0.28956,0.55626,0.3682999999999999,0.53848,0.37592,0.0,0.30988
0.28956,0.5257799999999999,0.3555999999999999,0.2844799999999999,0.55118,0.3479799999999999,0.53848,0.36322,0.0,0.2971799999999999
0.2844799999999999,0.52324,0.35306,0.27686,0.53848,0.33274,0.5308599999999999,0.34036,0.0,0.28956
0.2819399999999999,0.5206999999999999,0.35306,0.27432,0.5308599999999999,0.33274,0.5308599999999999,0.32512,0.0,0.28956
0.26416,0.51816,0.35306,0.26416,0.51308,0.30988,0.5308599999999999,0.30734,0.0,0.27432
0.2463799999999999,0.51054,0.35306,0.254,0.4800599999999999,0.28702,0.51816,0.27686,0.0,0.26162
0.22352,0.5003799999999999,0.3479799999999999,0.2336799999999999,0.45212,0.26416,0.508,0.25146,0.0,0.2438399999999999
0.21336,0.49022,0.3429,0.21336,0.42672,0.2336799999999999,0.49784,0.21336,0.0,0.22606
0.2032,0.4749799999999999,0.33782,0.19558,0.41402,0.21082,0.4876799999999999,0.1803399999999999,0.0,0.21082
0.19812,0.4673599999999999,0.33274,0.18542,0.3937,0.18542,0.4673599999999999,0.15494,0.0,0.19304
0.1803399999999999,0.4546599999999999,0.32258,0.1676399999999999,0.36576,0.16002,0.4572,0.127,0.0,0.1777999999999999
0.15748,0.43942,0.30734,0.1523999999999999,0.36576,0.13462,0.4572,0.09144,0.0,0.1676399999999999
0.15748,0.4546599999999999,0.3175,0.1523999999999999,0.381,0.1422399999999999,0.47244,0.08128,0.0,0.1676399999999999
0.16256,0.45974,0.31496,0.15494,0.38608,0.14478,0.4749799999999999,0.0838199999999999,0.0,0.1777999999999999
0.14986,0.45974,0.32258,0.15748,0.38862,0.1397,0.4749799999999999,0.06858,0.0,0.1777999999999999
0.1422399999999999,0.45974,0.32258,0.14478,0.381,0.13208,0.4673599999999999,0.04572,0.0,0.17018
0.1422399999999999,0.46482,0.32258,0.13716,0.36322,0.11176,0.4572,0.02032,0.0,0.16002
0.1422399999999999,0.4572,0.31496,0.127,0.3454399999999999,0.0838199999999999,0.44704,0.00508,0.0,0.14478
0.1219199999999999,0.45212,0.30226,0.11176,0.32004,0.0508,0.43688,0.0,0.0,0.1219199999999999
0.09144,0.43434,0.2794,0.0838199999999999,0.28956,0.0177799999999999,0.42672,0.0,0.0,0.1016
0.06604,0.40894,0.254,0.05588,0.2667,0.0,0.4064,0.0,0.0,0.08128
0.0761999999999999,0.4191,0.254,0.05334,0.2667,0.0,0.41402,0.00508,0.0,0.06604
